Mes,Mes_Desc,ADR,ADR_Cinco estrellas de oro,ADR_Cuatro estrellas de oro,ADR_Tres estrellas de oro,ADR_Dos estrellas de oro,ADR_Una estrella de oro,ADR_Tres y dos estrellas de plata,ADR_Una estrella de plata,RevPar,RevPar_Cinco estrellas de oro,RevPar_Cuatro estrellas de oro,RevPar_Tres estrellas de oro,RevPar_Dos estrellas de oro,RevPar_Una estrella de oro,RevPar_Tres y dos estrellas de plata,RevPar_Una estrella de plata,Turistas,Pernoctaciones,Estancia_Media
200801,Ene 2008,71.19,165.31,80.88,57.39,50.73,46.69,44.43,35.77,33.13,75.67,42.72,29.39,20.71,15.25,14.41,11.15,,,2.94
200802,Feb 2008,71.90,163.14,81.90,58.51,51.25,47.11,45.10,34.86,38.96,88.67,50.51,34.98,24.19,18.29,16.65,11.66,,,2.83
200803,Mar 2008,72.99,165.16,83.14,60.42,52.75,48.79,45.73,37.49,40.58,90.16,52.66,36.65,25.08,19.82,17.92,12.98,,,2.91
200804,Abr 2008,69.90,164.21,80.23,55.91,50.60,48.18,45.00,37.57,38.14,91.14,50.80,32.76,23.20,17.60,16.39,13.06,,,2.9
200805,May 2008,68.02,166.78,79.38,54.24,50.11,49.63,44.06,38.18,39.18,99.91,52.91,32.78,24.53,19.34,17.80,14.09,,,3.09
200806,Jun 2008,69.08,162.01,81.37,57.51,50.35,48.65,46.23,39.28,42.62,97.02,57.05,39.01,26.46,20.08,19.86,14.27,,,3.35
200807,Jul 2008,76.32,170.35,90.05,67.27,55.86,50.28,48.92,41.19,51.15,102.17,66.58,50.72,33.97,24.72,23.42,16.32,,,3.75
200808,Ago 2008,81.89,176.49,97.41,73.34,60.65,54.46,52.19,43.76,58.89,110.74,75.61,58.25,40.52,31.79,29.05,20.87,,,3.81
200809,Sep 2008,71.99,162.20,84.25,60.78,53.48,48.40,46.95,40.23,46.49,97.45,62.23,43.19,29.70,20.96,20.56,14.88,,,3.51
200810,Oct 2008,69.45,163.11,79.49,55.64,49.52,47.42,44.25,37.36,37.62,89.43,49.85,31.64,23.33,18.69,16.34,11.67,,,3.16
200811,Nov 2008,71.25,157.96,80.47,57.45,49.48,47.25,43.83,35.97,34.78,74.45,46.21,30.90,20.51,15.97,13.96,9.92,,,2.81
200812,Dic 2008,71.14,158.63,79.52,58.95,50.33,47.74,44.95,35.69,28.83,57.84,37.30,26.64,17.78,13.92,12.23,8.44,,,2.76
200901,Ene 2009,69.93,153.42,78.03,56.83,49.77,46.26,42.78,34.29,27.44,56.19,36.12,24.70,16.48,12.24,10.60,7.56,,,3.01
200902,Feb 2009,70.38,153.15,79.03,57.28,50.41,46.28,43.32,35.06,31.97,68.54,41.38,28.82,19.62,14.19,12.84,9.29,,,2.82
200903,Mar 2009,67.71,148.56,76.28,54.19,48.80,46.99,42.97,35.63,32.44,66.37,42.50,29.42,18.74,14.51,12.54,9.75,,,2.93
200904,Abr 2009,66.86,151.03,76.08,53.09,49.73,47.79,45.11,37.89,33.60,73.33,43.09,29.78,20.80,15.73,15.36,11.89,,,2.99
200905,May 2009,63.74,146.48,73.31,51.43,47.57,46.84,44.41,36.87,32.35,69.94,42.72,28.41,19.67,15.13,15.11,11.10,,,3.07
200906,Jun 2009,64.96,140.88,75.88,53.05,48.53,47.64,46.36,37.90,36.19,73.23,48.51,32.90,22.30,16.43,16.54,11.62,,,3.42
200907,Jul 2009,73.16,148.83,85.33,63.52,55.40,49.93,50.68,40.34,44.73,81.58,58.86,43.58,29.00,21.28,20.84,13.95,,,3.76
200908,Ago 2009,79.49,165.79,93.25,69.75,62.30,53.87,53.76,42.58,53.15,98.11,67.82,51.72,37.40,28.53,26.81,18.16,,,3.84
200909,Sep 2009,68.55,140.62,79.02,58.14,52.97,47.45,46.10,38.58,40.74,78.02,53.95,38.35,25.96,18.23,17.92,12.12,,,3.5
200910,Oct 2009,65.35,145.91,73.24,52.94,49.24,46.94,44.38,35.66,34.11,77.97,44.23,29.35,20.93,16.44,15.57,10.82,,,3.1
200911,Nov 2009,67.20,140.67,73.60,54.50,49.09,46.68,42.91,35.08,31.28,67.77,41.15,27.77,17.16,14.01,11.89,9.35,,,2.81
200912,Dic 2009,68.07,136.41,74.81,56.26,51.15,47.23,44.18,34.86,27.15,54.27,35.21,24.69,16.27,12.23,10.92,8.05,,,2.71
201001,Ene 2010,67.28,139.92,73.05,54.62,50.02,47.29,41.68,34.03,26.30,55.29,34.03,23.16,15.13,11.18,9.51,7.98,,,3
